date_id,date,pre_covid,negative_l,total_l,negative_r,total_r,negative_low,total_low,negative_high,total_high,total
0,2018-1-2,0,22,43,39,74,14,24,47,93,117
1,2018-1-9,0,24,41,45,88,22,38,47,91,129
2,2018-2-8,0,30,46,51,93,27,43,54,96,139
3,2018-3-14,0,26,40,58,98,25,48,59,90,138
4,2018-4-10,0,29,42,53,100,29,51,53,91,142
5,2018-5-8,0,26,39,48,96,21,46,53,89,135
6,2018-7-20,0,25,40,58,96,29,46,54,90,136
7,2018-10-15,0,21,40,52,96,24,46,49,90,136
8,2018-10-31,0,21,42,70,114,41,64,50,92,156
9,2018-11-11,0,24,53,18,50,0,0,42,103,103
10,2018-11-27,0,25,39,64,111,40,61,49,89,150
11,2018-12-4,0,21,42,61,117,38,67,44,92,159
12,2018-12-15,0,21,39,16,33,0,0,37,72,72
13,2018-12-16,0,29,49,21,50,0,0,50,99,99
14,2018-12-27,0,25,38,52,97,27,47,50,88,135
15,2019-1-2,0,16,39,42,76,13,26,45,89,115
16,2019-1-5,0,24,43,10,21,0,0,34,64,64
17,2019-1-10,0,21,43,76,115,45,65,52,93,158
18,2019-1-16,0,23,42,72,124,45,74,50,92,166
19,2019-1-17,0,31,45,84,118,53,68,62,95,163
20,2019-1-25,0,24,43,68,116,38,66,54,93,159
21,2019-2-25,0,14,32,44,84,16,34,42,82,116
22,2019-3-4,0,22,38,41,84,19,34,44,88,122
23,2019-3-7,0,30,50,70,113,38,63,62,100,163
24,2019-3-24,0,16,49,26,50,0,0,42,99,99
25,2019-3-25,0,26,42,51,92,28,42,49,92,134
26,2019-4-8,0,21,41,44,81,16,31,49,91,122
27,2019-4-17,0,18,43,70,119,45,69,43,93,162
28,2019-4-30,0,23,38,72,116,40,66,55,88,154
29,2019-5-17,0,24,42,72,125,43,75,53,92,167
30,2019-5-29,0,22,43,69,112,37,62,54,93,155
31,2019-6-16,0,23,53,26,50,0,0,49,103,103
32,2019-6-28,0,25,48,77,134,54,84,48,98,182
33,2019-6-29,0,19,36,9,25,0,0,28,61,61
34,2019-7-6,0,23,41,11,25,0,0,34,66,66
35,2019-7-10,0,24,47,75,130,48,80,51,97,177
36,2019-7-13,0,21,36,9,25,0,0,30,61,61
37,2019-7-20,0,26,38,10,23,0,0,36,61,61
38,2019-7-29,0,23,37,50,85,19,35,54,87,122
39,2019-8-14,0,24,43,86,123,49,73,61,93,166
40,2019-8-18,0,15,44,27,50,0,0,42,94,94
41,2019-8-22,0,30,44,73,116,42,66,61,94,160
42,2019-8-31,0,22,35,9,21,0,0,31,56,56
43,2019-9-12,0,23,37,34,59,4,9,53,87,96
44,2019-9-27,0,30,43,81,129,55,79,56,93,172
45,2019-10-7,0,20,35,43,89,22,39,41,85,124
46,2019-10-17,0,16,34,88,135,59,85,45,84,169
47,2019-11-1,0,23,41,62,109,37,59,48,91,150
48,2019-11-10,0,20,46,22,50,0,0,42,96,96
49,2019-11-20,0,26,42,83,128,54,78,55,92,170
50,2020-1-20,1,21,38,55,97,28,47,48,88,135
51,2020-2-11,1,22,44,73,116,42,66,53,94,160
52,2020-2-14,1,26,43,64,111,41,61,49,93,154
53,2020-2-15,1,17,31,15,29,0,0,32,60,60
54,2020-3-12,1,31,48,81,119,47,69,65,98,167
55,2020-3-14,1,35,44,28,41,0,0,63,85,85
56,2020-3-26,1,27,47,85,134,50,84,62,97,181
57,2020-4-6,1,21,42,49,86,22,36,48,92,128
58,2020-4-17,1,31,43,82,130,55,80,58,93,173
59,2020-4-25,1,19,37,15,36,0,0,34,73,73
60,2020-5-12,1,27,40,64,112,36,62,55,90,152
