date_id,date,pre_covid,negative_l,total_l,negative_r,total_r
0,2018-1-2,0,9,15,10,15
1,2018-1-9,0,10,15,8,15
2,2018-2-8,0,9,15,10,15
3,2018-3-14,0,9,15,7,15
4,2018-4-10,0,11,15,7,15
5,2018-5-8,0,8,15,8,15
6,2018-7-20,0,9,15,9,15
7,2018-10-15,0,9,15,8,15
8,2018-10-31,0,7,15,10,15
9,2018-11-11,0,7,15,8,15
10,2018-11-27,0,11,15,11,15
11,2018-12-4,0,5,15,7,15
12,2018-12-15,0,8,15,5,15
13,2018-12-16,0,9,15,7,15
14,2018-12-27,0,10,15,8,15
15,2019-1-2,0,8,15,10,15
16,2019-1-5,0,9,15,7,15
17,2019-1-10,0,9,15,11,15
18,2019-1-16,0,5,15,9,15
19,2019-1-17,0,10,15,11,15
20,2019-1-25,0,7,15,10,15
21,2019-2-25,0,8,15,7,15
22,2019-3-4,0,8,15,6,15
23,2019-3-7,0,9,15,9,15
24,2019-3-24,0,4,15,10,15
25,2019-3-25,0,11,15,7,15
26,2019-4-8,0,8,15,8,15
27,2019-4-17,0,3,15,6,15
28,2019-4-30,0,10,15,9,15
29,2019-5-17,0,8,15,7,15
30,2019-5-29,0,11,15,10,15
31,2019-6-16,0,6,15,7,15
32,2019-6-28,0,6,15,6,15
33,2019-6-29,0,7,15,6,15
34,2019-7-6,0,9,15,6,15
35,2019-7-10,0,6,15,9,15
36,2019-7-13,0,11,15,7,15
37,2019-7-20,0,11,15,7,15
38,2019-7-29,0,11,15,7,15
39,2019-8-14,0,9,15,12,15
40,2019-8-18,0,6,15,8,15
41,2019-8-22,0,11,15,12,15
42,2019-8-31,0,9,15,7,15
43,2019-9-12,0,10,15,10,15
44,2019-9-27,0,10,15,12,15
45,2019-10-7,0,9,15,10,15
46,2019-10-17,0,8,15,11,15
47,2019-11-1,0,11,15,8,15
48,2019-11-10,0,5,15,4,15
49,2019-11-20,0,8,15,11,15
50,2020-1-20,1,11,15,5,15
51,2020-2-11,1,7,15,8,15
52,2020-2-14,1,9,15,11,15
53,2020-2-15,1,8,15,9,15
54,2020-3-12,1,9,15,9,15
55,2020-3-14,1,15,15,8,15
56,2020-3-26,1,9,15,10,15
57,2020-4-6,1,6,15,10,15
58,2020-4-17,1,11,15,10,15
59,2020-4-25,1,8,15,8,15
60,2020-5-12,1,8,15,10,15
61,2020-5-13,1,8,15,6,15
62,2020-6-12,1,11,15,9,15
63,2020-6-15,1,11,15,9,15
64,2020-7-4,1,6,15,8,15
65,2020-7-13,1,8,15,10,15
66,2020-7-23,1,9,15,8,15
67,2020-7-28,1,10,15,10,15
68,2020-8-8,1,11,15,6,15
69,2020-8-19,1,9,15,8,15
70,2020-8-21,1,8,15,9,15
71,2020-9-23,1,10,15,10,15
72,2020-9-28,1,8,15,10,15
73,2020-10-12,1,9,15,8,15
74,2020-10-13,1,4,15,12,15
75,2020-10-20,1,11,15,10,15
76,2020-10-26,1,9,15,9,15
77,2020-10-27,1,9,15,9,15
78,2020-11-5,1,4,15,7,15
79,2020-11-6,1,8,15,11,15
80,2020-11-17,1,8,15,11,15
81,2020-11-20,1,6,15,8,15
82,2020-11-26,1,8,15,10,15
83,2020-12-6,1,3,15,11,15
84,2020-12-19,1,7,15,5,15
85,2021-2-7,1,2,15,9,15
86,2021-2-17,1,8,15,10,15
87,2021-3-22,1,4,15,7,15
88,2021-4-26,1,9,15,11,15
89,2021-5-26,1,9,15,12,15
90,2021-6-4,1,13,15,8,15
91,2021-7-9,1,9,15,8,15
92,2021-9-4,1,10,15,10,15
93,2021-9-5,1,7,15,9,15
94,2021-9-7,1,9,15,8,15
95,2021-9-18,1,8,15,8,15
96,2021-10-10,1,5,15,8,15
97,2021-11-5,1,7,15,7,15
98,2021-11-16,1,8,15,8,15
99,2021-12-20,1,8,15,9,15
