index,Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred,Sentiment
0,Wild Swings in Money-Market Rates Highlight Limits of Regulation,The Wall Street Journal,2018,1,2,0,0,1,1,0
1,More Than 20 Are Hurt in Bronx Apartment Fire,The Wall Street Journal,2018,1,2,0,0,1,1,-1
2,Games Growth Not a Given in China,The Wall Street Journal,2018,1,2,0,0,1,1,-1
3,Stricter Bank Supervision Didn’t Hurt Lending,The Wall Street Journal,2018,1,2,0,0,1,1,1
4,A Moment of Contempt,The Wall Street Journal,2018,1,2,0,0,1,1,-1
5,‘White-Informed Civility’ Is the Latest Target in the Campus Wars,The Wall Street Journal,2018,1,2,0,0,1,1,-1
6,Iran’s Spending on Foreign Conflicts Raises Protesters’ Ire,The Wall Street Journal,2018,1,2,0,0,1,1,-1
7,Smart Lock Maker Otto Ceases Operations,The Wall Street Journal,2018,1,2,0,0,1,1,-1
8,Is the ‘Pour-Over’ Over? Baristas Say Machines Have Their Perks,The Wall Street Journal,2018,1,2,0,0,1,1,-1
9,Here’s the Cure for Hyperpartisanship,The Wall Street Journal,2018,1,2,0,0,1,1,-1
10,Insurance Startup Indio Raises $6 Million Series A,The Wall Street Journal,2018,1,2,0,0,1,1,-1
11,Firm Retention Summary: American Fuel Cell & Coated Fabrics Co.,The Wall Street Journal,2018,1,2,0,0,1,1,1
12,U.S. Apartment Market Softens as Supply Increases,The Wall Street Journal,2018,1,2,0,0,1,1,-1
13,Notable & Quotable: Lindsey Graham on Donald Trump,The Wall Street Journal,2018,1,2,0,0,1,1,1
14,Dollar Weakens on Uncertainty Over Pace of Rate Rises,The Wall Street Journal,2018,1,2,0,0,1,1,-1
15,A Floating Fortress Would Bolster America’s Naval Power,The Wall Street Journal,2018,1,2,0,0,1,1,1
16,Freed Canadian Hostage Is Charged With Assault,The Wall Street Journal,2018,1,2,0,0,1,1,-1
17,Review: The Mayerling Incident and the ‘Twilight of Empire’,The Wall Street Journal,2018,1,2,0,0,1,1,1
18,Diageo Halts Snapchat Ads Over Age-Targeting Concerns,The Wall Street Journal,2018,1,2,0,0,1,1,-1
19,Charitable Gifts Can Shrink Your Taxable IRA Income,The Wall Street Journal,2018,1,2,0,0,1,1,1
20,Islamic State Returns to Guerrilla Warfare in Iraq and Syria,The Wall Street Journal,2018,1,2,0,0,1,1,0
21,Goldman and GIC Lead Restructuring of Vector’s Old Funds,The Wall Street Journal,2018,1,2,0,0,1,1,-1
22,Nasdaq Closes Above 7000 for First Time,The Wall Street Journal,2018,1,2,0,0,1,1,-1
23,Looking for a Few Good Men,The Wall Street Journal,2018,1,2,0,0,1,1,1
24,Firm Retention Summary: Armstrong Energy Inc.,The Wall Street Journal,2018,1,2,0,0,1,1,1
25,Should Business Be ‘Grateful’?,The Wall Street Journal,2018,1,2,0,0,1,1,1
26,What If It’s True?,The Wall Street Journal,2018,1,2,0,0,1,1,1
27,Funding Snapshot: Aegea Medical Secures $40 Million to Treat Uterine Bleeding,The Wall Street Journal,2018,1,2,0,0,1,1,1
28,The Add-On Deal Roundup: Jan. 2,The Wall Street Journal,2018,1,2,0,0,1,1,0
29,Republicans Can’t Avoid ObamaCare in 2018,The Wall Street Journal,2018,1,2,0,0,1,1,-1
30,Broadway Box Office Breaks Records in Most Recent Week,The Wall Street Journal,2018,1,2,0,0,1,1,1
31,Readers Take Alan Blinder to Task on Taxes,The Wall Street Journal,2018,1,2,0,0,1,1,0
32,Bitcoin and Its Kin Start New Year With a Bang,The Wall Street Journal,2018,1,2,0,0,1,1,1
33,"Venezuela Misses Another Debt Payment, Raising Stakes for Bondholders",The Wall Street Journal,2018,1,2,0,0,1,1,-1
34,"South Korea Proposes Talks With North, Testing U.S. Bid to Isolate Regime",The Wall Street Journal,2018,1,2,0,0,1,1,-1
35,SEC Joins Call for Bankruptcy Trustee to Run Woodbridge,The Wall Street Journal,2018,1,2,0,0,1,1,-1
36,"Corrigan’s Take: Omar Amanat, No Stranger to Bankruptcy Court, Convicted of Fraud",The Wall Street Journal,2018,1,2,0,0,1,1,1
37,Busting Illusions About Iran,The Wall Street Journal,2018,1,2,0,0,1,1,1
38,Peter Thiel’s Founders Fund Makes Big Bet on Bitcoin,The Wall Street Journal,2018,1,2,0,0,1,1,0
39,Rule Change Allows Damaged Churches to Rebuild With Federal Aid,The Wall Street Journal,2018,1,2,0,0,1,1,1
40,Sen. Orrin Hatch to Retire at End of Term,The Wall Street Journal,2018,1,2,0,0,1,1,-1
