Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred
"The Trump Effect: Business, Anticipating Less Regulation, Loosens Purse Strings",The New York Times,2018,01,02,0,0,0,0
Kim Jong-un’s Overture Could Drive a Wedge Between South Korea and the U.S.,The New York Times,2018,01,02,0,0,0,0
Peter Martins Retires From New York City Ballet After Misconduct Allegations,The New York Times,2018,01,02,0,0,0,0
"With Disney Deal Looming, Murdoch’s Empire Is Fractured",The New York Times,2018,01,02,0,0,0,0
A Note From Our New Publisher,The New York Times,2018,01,02,0,0,0,0
"Turtle Treadmills, a Novel Test for Stamina",The New York Times,2018,01,02,0,0,0,0
Emboldened Israeli Right Presses Moves to Doom 2-State Solution,The New York Times,2018,01,02,0,0,0,0
Deadly Iran Protests Prompt Warning of Harsher Response,The New York Times,2018,01,02,0,0,0,0
Renewal or Gentrification? London Borough Grapples With a Revamp,The New York Times,2018,01,02,0,0,0,0
2 American Families Are Mourned After Plane Crash in Costa Rica,The New York Times,2018,01,02,0,0,0,0
The Hunt for ‘Fire Cats’ Amid Northern California Ashes,The New York Times,2018,01,02,0,0,0,0
"Gretchen Carlson, Miss America 1989, Is Picked to Lead Pageant",The New York Times,2018,01,02,0,0,0,0
"Pulled Over in a Rental Car, With Heroin in the Trunk",The New York Times,2018,01,02,0,0,0,0
Recreational Pot Is Officially Legal in California,The New York Times,2018,01,02,0,0,0,0
"‘Fake News’: Wide Reach but Little Impact, Study Suggests",The New York Times,2018,01,02,0,0,0,0
"Fighting Climate Change, One Laundry Load at a Time",The New York Times,2018,01,02,0,0,0,0
Why the U.S. Spends So Much More Than Other Nations on Health Care,The New York Times,2018,01,02,0,0,0,0
Toasts to the Deals (and Other Winners) of 2017,The New York Times,2018,01,02,0,0,0,0
How Antivirus Software Can Be Turned Into a Tool for Spying,The New York Times,2018,01,02,0,0,0,0
Those Seatback Screens on Planes Are Starting to Disappear,The New York Times,2018,01,02,0,0,0,0
Why Are All Our Words in Bubbles?,The New York Times,2018,01,02,0,0,0,0
Alabama Beats Clemson to Set Up All-S.E.C. Championship Game,The New York Times,2018,01,02,0,0,0,0
College Football Playoff: Georgia Outlasts Oklahoma in Rose Bowl,The New York Times,2018,01,02,0,0,0,0
National Anthem Protests Sidelined by Ambiguity,The New York Times,2018,01,02,0,0,0,0
Powerful Hollywood Women Unveil Anti-Harassment Action Plan,The New York Times,2018,01,02,0,0,0,0
Review: The Met Opera’s ‘Tosca’ Overcomes Months of Chaos,The New York Times,2018,01,02,0,0,0,0
How Astrology Took Over the Internet,The New York Times,2018,01,02,0,0,0,0
"In Chilly Start to 2nd Term, Mayor Looks Beyond New York",The New York Times,2018,01,02,0,0,0,0
"Teterboro Airport: Steeped in Glamour, History and Noise",The New York Times,2018,01,02,0,0,0,0
Conquering Her Mobility Obstacles With an Upbeat Attitude,The New York Times,2018,01,02,0,0,0,0
"To Sate China’s Demand, African Donkeys Are Stolen and Skinned",The New York Times,2018,01,02,0,0,0,0
U.F.O.s: Is This All There Is?,The New York Times,2018,01,02,0,0,0,0
Beach Crawling Doesn’t Tire Out Baby Sea Turtles,The New York Times,2018,01,02,0,0,0,0
"Calestous Juma, 64, Dies; Sought Innovation in African Agriculture",The New York Times,2018,01,02,0,0,0,0
"Maura Jacobson, Creator of Witty Crosswords, Dies at 91",The New York Times,2018,01,02,0,0,0,0
‘A New Progressive Era’ in New York City,The New York Times,2018,01,02,0,0,0,0
Can the Economy Keep Calm and Carry On?,The New York Times,2018,01,02,0,0,0,0
The Retreat to Tribalism,The New York Times,2018,01,02,0,0,0,0
States Pay the Price When You Buy Online,The New York Times,2018,01,02,0,0,0,0
"Trump Administration Says That Nearly 200,000 Salvadorans Must Leave",The New York Times,2018,01,09,1,0,0,0
Fusion GPS Founder Hauled From the Shadows for the Russia Election Investigation,The New York Times,2018,01,09,1,0,0,0
Oprah 2020? Democrats Swing From Giddy to Skeptical at the Prospect,The New York Times,2018,01,09,1,0,0,0
"At J.F.K. Airport, the Planes Just Wouldn’t Stop Coming",The New York Times,2018,01,09,1,0,0,0
"Oprah, Don’t Do It",The New York Times,2018,01,09,1,0,0,0
Nigerian Migrants Get a Welcome Home. Jobs Are Another Story.,The New York Times,2018,01,09,1,0,0,0
A Visa-Free Zone Welcomes Your Wallet. But Maybe Not Your Beard.,The New York Times,2018,01,09,1,0,0,0
"North Korea to Send Olympic Athletes to South Korea, in Breakthrough",The New York Times,2018,01,09,1,0,0,0
These Billion-Dollar Natural Disasters Set a U.S. Record in 2017,The New York Times,2018,01,09,1,0,0,0
Charges Against Bundys in Ranch Standoff Case Are Dismissed,The New York Times,2018,01,09,1,0,0,0
Awkward: Brownback Said He Was Leaving as Kansas Governor. He Hasn’t.,The New York Times,2018,01,09,1,0,0,0
Mueller Interview With Trump Is Said to Be Likely,The New York Times,2018,01,09,1,0,0,0
"To Pay for Wall, Trump Would Cut Proven Border Security Measures",The New York Times,2018,01,09,1,0,0,0
Strong Economies Lift Presidents. Trump Seems an Exception.,The New York Times,2018,01,09,1,0,0,0
Tech Backlash Grows as Investors Press Apple to Act on Children’s Use,The New York Times,2018,01,09,1,0,0,0
"Tax Law May Send Factories and Jobs Abroad, Critics Say",The New York Times,2018,01,09,1,0,0,0
Amway Made China a Billion-Dollar Market. Now It Faces a Crackdown.,The New York Times,2018,01,09,1,0,0,0
Condé Nast Chooses a Digital-First Editor to Run Glamour,The New York Times,2018,01,09,1,0,0,0
Toymaker VTech Settles Charges of Violating Child Privacy Law,The New York Times,2018,01,09,1,0,0,0
Apple Investors Warn iPhones and Other Technology May Be Hurting Children,The New York Times,2018,01,09,1,0,0,0
"How Alabama Won the National Championship, Drive by Drive",The New York Times,2018,01,09,1,0,0,0
"After Pledging Reform, FIFA Pays Millions to Ruling Council",The New York Times,2018,01,09,1,0,0,0
"A Hoya Again, Patrick Ewing Learns Value of Knowing When to Pivot",The New York Times,2018,01,09,1,0,0,0
"After Globes, Women Declare Success. But What About the Men?",The New York Times,2018,01,09,1,0,0,0
What Politicians Could Learn From Oprah Winfrey,The New York Times,2018,01,09,1,0,0,0
A Mega-Dealer Expands: David Zwirner Plans a New Art Gallery,The New York Times,2018,01,09,1,0,0,0
"In Deepest Cold, a Subway Car Becomes the Shelter of Last Resort",The New York Times,2018,01,09,1,0,0,0
Fraternity Is Banned From Pennsylvania After Student’s Hazing Death,The New York Times,2018,01,09,1,0,0,0
"Making a Home Her Own, and a Refuge for Others",The New York Times,2018,01,09,1,0,0,0
Brain Surgery in 3-D: Coming Soon to the Operating Theater,The New York Times,2018,01,09,1,0,0,0
"In Africa, Geneticists Are Hunting Poachers",The New York Times,2018,01,09,1,0,0,0
"W.H.O. Approves a Safe, Inexpensive Typhoid Vaccine",The New York Times,2018,01,09,1,0,0,0
"Alan Sagner, Who Revitalized the Port Authority, Dies at 97",The New York Times,2018,01,09,1,0,0,0
