Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred
Wild Swings in Money-Market Rates Highlight Limits of Regulation,The Wall Street Journal,2018,01,02,0,0,1,1
More Than 20 Are Hurt in Bronx Apartment Fire,The Wall Street Journal,2018,01,02,0,0,1,1
Games Growth Not a Given in China,The Wall Street Journal,2018,01,02,0,0,1,1
Stricter Bank Supervision Didn’t Hurt Lending,The Wall Street Journal,2018,01,02,0,0,1,1
A Moment of Contempt,The Wall Street Journal,2018,01,02,0,0,1,1
‘White-Informed Civility’ Is the Latest Target in the Campus Wars,The Wall Street Journal,2018,01,02,0,0,1,1
Iran’s Spending on Foreign Conflicts Raises Protesters’ Ire,The Wall Street Journal,2018,01,02,0,0,1,1
Smart Lock Maker Otto Ceases Operations,The Wall Street Journal,2018,01,02,0,0,1,1
Is the ‘Pour-Over’ Over? Baristas Say Machines Have Their Perks,The Wall Street Journal,2018,01,02,0,0,1,1
Here’s the Cure for Hyperpartisanship,The Wall Street Journal,2018,01,02,0,0,1,1
Insurance Startup Indio Raises $6 Million Series A,The Wall Street Journal,2018,01,02,0,0,1,1
Firm Retention Summary: American Fuel Cell & Coated Fabrics Co.,The Wall Street Journal,2018,01,02,0,0,1,1
U.S. Apartment Market Softens as Supply Increases,The Wall Street Journal,2018,01,02,0,0,1,1
Notable & Quotable: Lindsey Graham on Donald Trump,The Wall Street Journal,2018,01,02,0,0,1,1
Dollar Weakens on Uncertainty Over Pace of Rate Rises,The Wall Street Journal,2018,01,02,0,0,1,1
A Floating Fortress Would Bolster America’s Naval Power,The Wall Street Journal,2018,01,02,0,0,1,1
Freed Canadian Hostage Is Charged With Assault,The Wall Street Journal,2018,01,02,0,0,1,1
Review: The Mayerling Incident and the ‘Twilight of Empire’,The Wall Street Journal,2018,01,02,0,0,1,1
Diageo Halts Snapchat Ads Over Age-Targeting Concerns,The Wall Street Journal,2018,01,02,0,0,1,1
Charitable Gifts Can Shrink Your Taxable IRA Income,The Wall Street Journal,2018,01,02,0,0,1,1
Islamic State Returns to Guerrilla Warfare in Iraq and Syria,The Wall Street Journal,2018,01,02,0,0,1,1
Goldman and GIC Lead Restructuring of Vector’s Old Funds,The Wall Street Journal,2018,01,02,0,0,1,1
Nasdaq Closes Above 7000 for First Time,The Wall Street Journal,2018,01,02,0,0,1,1
Looking for a Few Good Men,The Wall Street Journal,2018,01,02,0,0,1,1
Firm Retention Summary: Armstrong Energy Inc.,The Wall Street Journal,2018,01,02,0,0,1,1
Should Business Be ‘Grateful’?,The Wall Street Journal,2018,01,02,0,0,1,1
What If It’s True?,The Wall Street Journal,2018,01,02,0,0,1,1
Funding Snapshot: Aegea Medical Secures $40 Million to Treat Uterine Bleeding,The Wall Street Journal,2018,01,02,0,0,1,1
The Add-On Deal Roundup: Jan. 2,The Wall Street Journal,2018,01,02,0,0,1,1
Republicans Can’t Avoid ObamaCare in 2018,The Wall Street Journal,2018,01,02,0,0,1,1
Broadway Box Office Breaks Records in Most Recent Week,The Wall Street Journal,2018,01,02,0,0,1,1
Readers Take Alan Blinder to Task on Taxes,The Wall Street Journal,2018,01,02,0,0,1,1
Bitcoin and Its Kin Start New Year With a Bang,The Wall Street Journal,2018,01,02,0,0,1,1
"Venezuela Misses Another Debt Payment, Raising Stakes for Bondholders",The Wall Street Journal,2018,01,02,0,0,1,1
"South Korea Proposes Talks With North, Testing U.S. Bid to Isolate Regime",The Wall Street Journal,2018,01,02,0,0,1,1
SEC Joins Call for Bankruptcy Trustee to Run Woodbridge,The Wall Street Journal,2018,01,02,0,0,1,1
"Corrigan’s Take: Omar Amanat, No Stranger to Bankruptcy Court, Convicted of Fraud",The Wall Street Journal,2018,01,02,0,0,1,1
Busting Illusions About Iran,The Wall Street Journal,2018,01,02,0,0,1,1
Peter Thiel’s Founders Fund Makes Big Bet on Bitcoin,The Wall Street Journal,2018,01,02,0,0,1,1
Rule Change Allows Damaged Churches to Rebuild With Federal Aid,The Wall Street Journal,2018,01,02,0,0,1,1
Sen. Orrin Hatch to Retire at End of Term,The Wall Street Journal,2018,01,02,0,0,1,1
Alexion Agrees to Work With Hedge Fund Elliott on Filling Board Seat,The Wall Street Journal,2018,01,02,0,0,1,1
Gold Continues Rally as Dollar Falls,The Wall Street Journal,2018,01,02,0,0,1,1
Kim Jong Un Says He Has a Nuclear Launch Button on His Office Desk,The Wall Street Journal,2018,01,02,0,0,1,1
Democrat Taps Disgruntled Liberals to Challenge Andrew Cuomo in 2018,The Wall Street Journal,2018,01,02,0,0,1,1
Haley Calls on U.N. to Support Demonstrators in Iran,The Wall Street Journal,2018,01,02,0,0,1,1
Rubio’s Tax Lament,The Wall Street Journal,2018,01,02,0,0,1,1
Centrist Democrats Get a Boost as Doug Jones Joins the Senate,The Wall Street Journal,2018,01,02,0,0,1,1
"Let’s Keep the Gains Made, Nafta Isn’t the Boogeyman",The Wall Street Journal,2018,01,02,0,0,1,1
U.S. Should Consider Europe’s New Capital Market Rules,The Wall Street Journal,2018,01,02,0,0,1,1
Firm Retention Summary: Woodbridge Group of Companies LLC,The Wall Street Journal,2018,01,09,1,0,1,1
Trump Administration Says Drilling Won’t Be Allowed Off Florida Coast,The Wall Street Journal,2018,01,09,1,0,1,1
"Toyota, Mazda Choose Alabama for $1.6 Billion Plant",The Wall Street Journal,2018,01,09,1,0,1,1
Federal Judges Invalidate North Carolina Congressional Districts,The Wall Street Journal,2018,01,09,1,0,1,1
Jump in HIV Cases Among Drug Users Seen in Northern Kentucky,The Wall Street Journal,2018,01,09,1,0,1,1
Renault-Nissan Starts Up $1 Billion Venture Fund for Car Technology,The Wall Street Journal,2018,01,09,1,0,1,1
Westinghouse Accuses Investors of Trying to Drive Up Claim Value,The Wall Street Journal,2018,01,09,1,0,1,1
The IRS Evades Accountability—and Its Excuse Is Ridiculous,The Wall Street Journal,2018,01,09,1,0,1,1
The House Chairmen’s Plan for Immigration Reform,The Wall Street Journal,2018,01,09,1,0,1,1
Progress on Immigration,The Wall Street Journal,2018,01,09,1,0,1,1
Tillerson Orders Review of U.S. Response to Mysterious Illnesses in Cuba,The Wall Street Journal,2018,01,09,1,0,1,1
"Don’t End the Iran Deal, Fix It",The Wall Street Journal,2018,01,09,1,0,1,1
"Davos In, Bannon Out",The Wall Street Journal,2018,01,09,1,0,1,1
A Fresh Approach to North Korea,The Wall Street Journal,2018,01,09,1,0,1,1
"New York City Plans New, $400 Million Public-Health Lab",The Wall Street Journal,2018,01,09,1,0,1,1
Tales From the Cryptocurrency,The Wall Street Journal,2018,01,09,1,0,1,1
North Korea’s Peace Games,The Wall Street Journal,2018,01,09,1,0,1,1
Funding Snapshot: StackShare Raises $5.2 Million Series A to Help Developers Stay Up-to-Date,The Wall Street Journal,2018,01,09,1,0,1,1
New Jersey Gov. Christie Defends Tenure in Final Speech,The Wall Street Journal,2018,01,09,1,0,1,1
Mega Chip Deal Alarms Some Chinese Smartphone Makers,The Wall Street Journal,2018,01,09,1,0,1,1
Firm Retention Summary: Real Industry Inc.,The Wall Street Journal,2018,01,09,1,0,1,1
Raising Good Men in Our Enlightened Age,The Wall Street Journal,2018,01,09,1,0,1,1
Rubenstein Partners Bets on Indiana,The Wall Street Journal,2018,01,09,1,0,1,1
Supreme Court Questions Breadth of Police Car-Search Rights,The Wall Street Journal,2018,01,09,1,0,1,1
Review: Hacking the Clock,The Wall Street Journal,2018,01,09,1,0,1,1
Ira Rennert Blames Law Firm for $214 Million MagCorp Verdict,The Wall Street Journal,2018,01,09,1,0,1,1
California’s Affirmative Action for ‘Marijuana Entrepreneurs’,The Wall Street Journal,2018,01,09,1,0,1,1
Bannon to Leave Breitbart Post After Rift With Trump,The Wall Street Journal,2018,01,09,1,0,1,1
Firm Retention Summary: Shiekh Shoes LLC,The Wall Street Journal,2018,01,09,1,0,1,1
Asia Markets Lower; Australia Sees Modest Gains,The Wall Street Journal,2018,01,09,1,0,1,1
Coreligionists in Kleptocracy,The Wall Street Journal,2018,01,09,1,0,1,1
Details on the Making of Trump Dossier Are Disclosed,The Wall Street Journal,2018,01,09,1,0,1,1
Domino’s CEO J. Patrick Doyle to Step Down in June,The Wall Street Journal,2018,01,09,1,0,1,1
KKR Launches Aggressive New Real-Estate Fund,The Wall Street Journal,2018,01,09,1,0,1,1
Oil Continues to Rally as Data Remain Bullish,The Wall Street Journal,2018,01,09,1,0,1,1
Ecuador Seeks Arrangement for Assange to Leave Embassy,The Wall Street Journal,2018,01,09,1,0,1,1
Trump Signs Order Expanding Mental-Health Help for New Veterans,The Wall Street Journal,2018,01,09,1,0,1,1
AmTrust Financial Founding Family Proposes Taking Insurer Private,The Wall Street Journal,2018,01,09,1,0,1,1
"Canada Outlook Shifts, as Currency and Bond Yields Jump",The Wall Street Journal,2018,01,09,1,0,1,1
Photos of the Day: Jan. 9,The Wall Street Journal,2018,01,09,1,0,1,1
Photos: Procession of the Black Nazarene in Manila,The Wall Street Journal,2018,01,09,1,0,1,1
China Consumer Inflation Up Slightly in December,The Wall Street Journal,2018,01,09,1,0,1,1
Investors Prepare for Inflation,The Wall Street Journal,2018,01,09,1,0,1,1
Realtors Get Ready for Their Next Battle,The Wall Street Journal,2018,01,09,1,0,1,1
NGP Backs Pipeline Company Trilogy Midstream,The Wall Street Journal,2018,01,09,1,0,1,1
Republicans Want Bigger Increase for Military Spending in Budget Talks,The Wall Street Journal,2018,01,09,1,0,1,1
"U.S., French Officials Question Apple Over iPhone Battery Slowdowns",The Wall Street Journal,2018,01,09,1,0,1,1
CBRE to Offer App for Office Design and Amenities,The Wall Street Journal,2018,01,09,1,0,1,1
Transom Capital Raises Quick $300 Million for Fund III,The Wall Street Journal,2018,01,09,1,0,1,1
Mike Pence to Lead U.S. Delegation to Olympics in South Korea,The Wall Street Journal,2018,01,09,1,0,1,1
Photos of the Day: Feb. 8,The Wall Street Journal,2018,02,08,2,0,1,1
A Historical Tie Breaks but Trouble Still Lurks,The Wall Street Journal,2018,02,08,2,0,1,1
Funding Snapshot: Honest Buildings Adds $8 Million to Series B,The Wall Street Journal,2018,02,08,2,0,1,1
North Korean Orchestra Tunes In to Southern Nostalgia,The Wall Street Journal,2018,02,08,2,0,1,1
Review: Cleaning Out the Competition,The Wall Street Journal,2018,02,08,2,0,1,1
"Keith Ellison, Louis Farrakhan and Iran",The Wall Street Journal,2018,02,08,2,0,1,1
"GOAT and Flight Club Merge, Raise $60 Million",The Wall Street Journal,2018,02,08,2,0,1,1
