Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred
GRE being accepted by top law schools instead of LSAT to broaden pool,The Washington Times,2018,01,02,0,0,1,2
Devin Nunes expands Russia probe to use of dossier to snare Trump,The Washington Times,2018,01,02,0,0,1,2
EDITORIAL: Even pop stars learn risks of straying outside their bubble,The Washington Times,2018,01,02,0,0,1,2
"Kirk Cousins' 2017 season, by the numbers",The Washington Times,2018,01,02,0,0,1,2
Ben Sasse defends First Amendment in Twitter video,The Washington Times,2018,01,02,0,0,1,2
Vice President Pence's Israel trip postponed: report,The Washington Times,2018,01,02,0,0,1,2
BOOK REVIEW: 'The Second World Wars' by Victor Davis Hanson,The Washington Times,2018,01,02,0,0,1,2
"DeAngelo Hall mulling retirement, eyes future",The Washington Times,2018,01,02,0,0,1,2
"Colorado gunman railed against police, University of Wyoming before killing deputy in 'ambush'",The Washington Times,2018,01,02,0,0,1,2
Quinton Dunbar signs three-year extension with Redskins,The Washington Times,2018,01,02,0,0,1,2
NASA rated top government agency in federal worker survey,The Washington Times,2018,01,02,0,0,1,2
Redskins have other problems in addition to Cousins' dilemma,The Washington Times,2018,01,02,0,0,1,2
Italian bill would ban images of Benito Mussolini to curb fascism,The Washington Times,2018,01,02,0,0,1,2
"Terminally ill people postpone death for last family, religious event",The Washington Times,2018,01,02,0,0,1,2
Criminal illegal immigrants receive shorter sentences due to legal quirk,The Washington Times,2018,01,02,0,0,1,2
Some states still trying to bounce back from Great Recession,The Washington Times,2018,01,02,0,0,1,2
"Trump uses golf course for business, unlike Obama",The Washington Times,2018,01,02,0,0,1,2
"Mark Emmert, NCAA president, owes athletes explanation",The Washington Times,2018,01,02,0,0,1,2
Don Blankenship energizes Republican Senate primary in West Virginia,The Washington Times,2018,01,02,0,0,1,2
"Rocket Man offers an opening, or a trap",The Washington Times,2018,01,02,0,0,1,2
Bernie Sanders New Year's resolution: Fight Trumpism,The Washington Times,2018,01,02,0,0,1,2
D.J. Swearinger: 'Players aren't taking care of their bodies',The Washington Times,2018,01,02,0,0,1,2
"EDITORIAL: 'Swatting,' or luring cops to an ambush, is the new blue peril",The Washington Times,2018,01,02,0,0,1,2
Kids should know to 'just say no' to sexting,The Washington Times,2018,01,02,0,0,1,2
Otto Porter missing one game reminds how thin Washington's roster is,The Washington Times,2018,01,09,1,0,1,2
"Navy's deadly accidents a result of budget issues, and culture with no quick fix",The Washington Times,2018,01,09,1,0,1,2
"Ally Sheedy deletes cryptic #MeToo tweet naming James Franco, Christian Slater",The Washington Times,2018,01,09,1,0,1,2
Fears that Rohingya Muslims could be next radical Islamic recruits,The Washington Times,2018,01,09,1,0,1,2
"Trump, GOP seek actions to undercut Obamacare",The Washington Times,2018,01,09,1,0,1,2
Democrats to hold new meeting with psychiatrist who calls Donald Trump a 'danger' to public,The Washington Times,2018,01,09,1,0,1,2
"Pizza Hut, Toyota plan self-driving car that can deliver meals, possibly cook on the road",The Washington Times,2018,01,09,1,0,1,2
"Puerto Rico still in emergency response mode, FEMA chief says",The Washington Times,2018,01,09,1,0,1,2
"Donald Trump warns farmers that Democrats want to raise taxes, regulations",The Washington Times,2018,01,09,1,0,1,2
Fallacies of 'climate crisis' exposed by freezing temps,The Washington Times,2018,01,09,1,0,1,2
Josh Doctson graded on a 'rookie' curve,The Washington Times,2018,01,09,1,0,1,2
"Georgetown becomes school for exploring gender, sex",The Washington Times,2018,01,09,1,0,1,2
Trump participates in national anthem at College Football Championship game,The Washington Times,2018,01,09,1,0,1,2
"James Damore sues, says Google blacklists conservatives, discriminates against white men",The Washington Times,2018,01,09,1,0,1,2
CNN claims to have called security to remove Stephen Miller off set,The Washington Times,2018,01,09,1,0,1,2
"DHS announces end to special status for 200,000 Salvadorans",The Washington Times,2018,01,09,1,0,1,2
Happy times and starry dreams in Tinsel Town,The Washington Times,2018,01,09,1,0,1,2
"Bradley Beal is All-Star worthy, but needs votes",The Washington Times,2018,01,09,1,0,1,2
EDITORIAL: Donald Trump reluctantly pulls the plug on the search for illegal voters,The Washington Times,2018,01,09,1,0,1,2
"Live transformer traps man inside crashed car in Greenbelt, Maryland",The Washington Times,2018,01,09,1,0,1,2
Top Democrats accuse Trump of politicizing tax cuts,The Washington Times,2018,01,09,1,0,1,2
White House says no way back for Steve Bannon after apology,The Washington Times,2018,01,09,1,0,1,2
Left's love affair with 'President Oprah' proves everyone hates DC politicians,The Washington Times,2018,01,09,1,0,1,2
"In a civil society institutions matter, and so does due process",The Washington Times,2018,01,09,1,0,1,2
Inside the Beltway: The media's dream story is Trump and Oprah in 2020,The Washington Times,2018,01,09,1,0,1,2
Kirk Cousins disagrees with Jay Gruden over comments,The Washington Times,2018,01,09,1,0,1,2
"Judge throws out case against Bundys, bars retrial in devastating defeat for federal prosecutors",The Washington Times,2018,01,09,1,0,1,2
University of Chicago faculty tell Obama to move Presidential library,The Washington Times,2018,01,09,1,0,1,2
"Baltimore listed as the worst city for bedbugs, D.C. named No. 2: Survey",The Washington Times,2018,01,09,1,0,1,2
"Global warming can't be blamed for the cold snap, bomb cyclone is nothing new",The Washington Times,2018,01,09,1,0,1,2
Trump has opportunity to shine if he can rebuild U.S. infrastructure,The Washington Times,2018,01,09,1,0,1,2
Donald Trump hunts for funding for infrastructure plan,The Washington Times,2018,01,09,1,0,1,2
Coalition of local businesses offer hope of Metro funding,The Washington Times,2018,01,09,1,0,1,2
Supreme Court declines to review Mississippi religious liberty law,The Washington Times,2018,01,09,1,0,1,2
Oprah Winfrey's possible 2020 white house run excites democrats,The Washington Times,2018,01,09,1,0,1,2
"Roy Moore's defeat fuels conflict between millennial Republicans, old guard",The Washington Times,2018,01,09,1,0,1,2
BOOK REVIEW: 'The Future of War: A History' by Lawrence Freedman,The Washington Times,2018,01,09,1,0,1,2
EDITORIAL: Cryptocurrency not a great alternative to greenbacks,The Washington Times,2018,01,09,1,0,1,2
Tony Dungy defends reporting for NBC Sports after critics bemoan his Christian 'nonsense',The Washington Times,2018,02,08,2,0,1,2
Rex Tillerson's Venezuela threats get tepid reaction in Latin America,The Washington Times,2018,02,08,2,0,1,2
Eric Holder considers run for president,The Washington Times,2018,02,08,2,0,1,2
Christopher Steele's Trump dossier info led FBI to mislead FISA judge,The Washington Times,2018,02,08,2,0,1,2
D.J. Durkin hauls in 2nd straight top-30 class,The Washington Times,2018,02,08,2,0,1,2
Nancy Pelosi sets record for longest speech on House floor,The Washington Times,2018,02,08,2,0,1,2
Walgreens adopts 'Transgender Inclusion' bathroom policy,The Washington Times,2018,02,08,2,0,1,2
Charlottesville increases police presence around Confederate statues after repeated unshrouding,The Washington Times,2018,02,08,2,0,1,2
"Recep Tayyip Erdogan, Turkish leader, demands U.S. withdrawal from Syrian enclave",The Washington Times,2018,02,08,2,0,1,2
Elizabeth Warren says her opinion of Jeff Sessions remains unchanged one year after confirmation,The Washington Times,2018,02,08,2,0,1,2
Justin Trudeau says 'peoplekind' comment was a 'dumb joke',The Washington Times,2018,02,08,2,0,1,2
EDITORIAL: British scientists find that sandwiches contribute to global warming,The Washington Times,2018,02,08,2,0,1,2
Congress reaches deal to boost spending nearly $300 billion,The Washington Times,2018,02,08,2,0,1,2
"Eagles planning to skip White House visit include Long, Jenkins",The Washington Times,2018,02,08,2,0,1,2
Hysteria over Nunes memo masks fears of its findings,The Washington Times,2018,02,08,2,0,1,2
Military leaders want Congress to approve budget deal,The Washington Times,2018,02,08,2,0,1,2
'Black Panther' claim by Salon roasted; moviegoers mock 'first' blockbuster black hero tweet,The Washington Times,2018,02,08,2,0,1,2
Inside the Beltway: The Senate eyes a ride on the Trump train,The Washington Times,2018,02,08,2,0,1,2
DNC hackers also targeted America's most secret military programs: Report,The Washington Times,2018,02,08,2,0,1,2
"Cliven Bundy, sons file lawsuits over public lands, Oregon standoff",The Washington Times,2018,02,08,2,0,1,2
Cory Booker raises 2020 profile with incendiary rhetoric,The Washington Times,2018,02,08,2,0,1,2
'Cliff Burton Day' designated for late Metallica bassist,The Washington Times,2018,02,08,2,0,1,2
Chain migration becomes sticking point in Senate negotiations,The Washington Times,2018,02,08,2,0,1,2
John Wall absence decidedly does not make Wizards better,The Washington Times,2018,02,08,2,0,1,2
IRS overpaid Obamacare tax credits by nearly $3.5 billion in 2017,The Washington Times,2018,02,08,2,0,1,2
