Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred,Sentiment
"The Trump Effect: Business, Anticipating Less Regulation, Loosens Purse Strings",The New York Times,2018,1,2,0,0,0,0,-1
Kim Jong-un’s Overture Could Drive a Wedge Between South Korea and the U.S.,The New York Times,2018,1,2,0,0,0,0,0
Peter Martins Retires From New York City Ballet After Misconduct Allegations,The New York Times,2018,1,2,0,0,0,0,-1
"With Disney Deal Looming, Murdoch’s Empire Is Fractured",The New York Times,2018,1,2,0,0,0,0,-1
A Note From Our New Publisher,The New York Times,2018,1,2,0,0,0,0,0
"Turtle Treadmills, a Novel Test for Stamina",The New York Times,2018,1,2,0,0,0,0,1
Emboldened Israeli Right Presses Moves to Doom 2-State Solution,The New York Times,2018,1,2,0,0,0,0,-1
Deadly Iran Protests Prompt Warning of Harsher Response,The New York Times,2018,1,2,0,0,0,0,-1
Renewal or Gentrification? London Borough Grapples With a Revamp,The New York Times,2018,1,2,0,0,0,0,-1
2 American Families Are Mourned After Plane Crash in Costa Rica,The New York Times,2018,1,2,0,0,0,0,1
The Hunt for ‘Fire Cats’ Amid Northern California Ashes,The New York Times,2018,1,2,0,0,0,0,-1
"Gretchen Carlson, Miss America 1989, Is Picked to Lead Pageant",The New York Times,2018,1,2,0,0,0,0,1
"Pulled Over in a Rental Car, With Heroin in the Trunk",The New York Times,2018,1,2,0,0,0,0,-1
Recreational Pot Is Officially Legal in California,The New York Times,2018,1,2,0,0,0,0,1
"‘Fake News’: Wide Reach but Little Impact, Study Suggests",The New York Times,2018,1,2,0,0,0,0,-1
"Fighting Climate Change, One Laundry Load at a Time",The New York Times,2018,1,2,0,0,0,0,0
Why the U.S. Spends So Much More Than Other Nations on Health Care,The New York Times,2018,1,2,0,0,0,0,-1
Toasts to the Deals (and Other Winners) of 2017,The New York Times,2018,1,2,0,0,0,0,1
How Antivirus Software Can Be Turned Into a Tool for Spying,The New York Times,2018,1,2,0,0,0,0,-1
Those Seatback Screens on Planes Are Starting to Disappear,The New York Times,2018,1,2,0,0,0,0,-1
Why Are All Our Words in Bubbles?,The New York Times,2018,1,2,0,0,0,0,-1
Alabama Beats Clemson to Set Up All-S.E.C. Championship Game,The New York Times,2018,1,2,0,0,0,0,1
College Football Playoff: Georgia Outlasts Oklahoma in Rose Bowl,The New York Times,2018,1,2,0,0,0,0,1
National Anthem Protests Sidelined by Ambiguity,The New York Times,2018,1,2,0,0,0,0,-1
Powerful Hollywood Women Unveil Anti-Harassment Action Plan,The New York Times,2018,1,2,0,0,0,0,1
Review: The Met Opera’s ‘Tosca’ Overcomes Months of Chaos,The New York Times,2018,1,2,0,0,0,0,1
How Astrology Took Over the Internet,The New York Times,2018,1,2,0,0,0,0,0
