date_id,date,pre_covid,count,is_r
0,2018-1-2,0,9,0
0,2018-1-2,0,10,1
1,2018-1-9,0,10,0
1,2018-1-9,0,8,1
2,2018-2-8,0,9,0
2,2018-2-8,0,10,1
3,2018-3-14,0,9,0
3,2018-3-14,0,7,1
4,2018-4-10,0,11,0
4,2018-4-10,0,7,1
5,2018-5-8,0,8,0
5,2018-5-8,0,8,1
6,2018-7-20,0,9,0
6,2018-7-20,0,9,1
7,2018-10-15,0,9,0
7,2018-10-15,0,8,1
8,2018-10-31,0,7,0
8,2018-10-31,0,10,1
9,2018-11-11,0,7,0
9,2018-11-11,0,8,1
10,2018-11-27,0,11,0
10,2018-11-27,0,11,1
11,2018-12-4,0,5,0
11,2018-12-4,0,7,1
12,2018-12-15,0,8,0
12,2018-12-15,0,5,1
13,2018-12-16,0,9,0
13,2018-12-16,0,7,1
14,2018-12-27,0,10,0
14,2018-12-27,0,8,1
15,2019-1-2,0,8,0
15,2019-1-2,0,10,1
16,2019-1-5,0,9,0
16,2019-1-5,0,7,1
17,2019-1-10,0,9,0
17,2019-1-10,0,11,1
18,2019-1-16,0,5,0
18,2019-1-16,0,9,1
19,2019-1-17,0,10,0
19,2019-1-17,0,11,1
20,2019-1-25,0,7,0
20,2019-1-25,0,10,1
21,2019-2-25,0,8,0
21,2019-2-25,0,7,1
22,2019-3-4,0,8,0
22,2019-3-4,0,6,1
23,2019-3-7,0,9,0
23,2019-3-7,0,9,1
24,2019-3-24,0,4,0
24,2019-3-24,0,10,1
25,2019-3-25,0,11,0
25,2019-3-25,0,7,1
26,2019-4-8,0,8,0
26,2019-4-8,0,8,1
27,2019-4-17,0,3,0
27,2019-4-17,0,6,1
28,2019-4-30,0,10,0
28,2019-4-30,0,9,1
29,2019-5-17,0,8,0
29,2019-5-17,0,7,1
30,2019-5-29,0,11,0
30,2019-5-29,0,10,1
31,2019-6-16,0,6,0
31,2019-6-16,0,7,1
32,2019-6-28,0,6,0
32,2019-6-28,0,6,1
33,2019-6-29,0,7,0
33,2019-6-29,0,6,1
34,2019-7-6,0,9,0
34,2019-7-6,0,6,1
35,2019-7-10,0,6,0
35,2019-7-10,0,9,1
36,2019-7-13,0,11,0
36,2019-7-13,0,7,1
37,2019-7-20,0,11,0
37,2019-7-20,0,7,1
38,2019-7-29,0,11,0
38,2019-7-29,0,7,1
39,2019-8-14,0,9,0
39,2019-8-14,0,12,1
40,2019-8-18,0,6,0
40,2019-8-18,0,8,1
41,2019-8-22,0,11,0
41,2019-8-22,0,12,1
42,2019-8-31,0,9,0
42,2019-8-31,0,7,1
43,2019-9-12,0,10,0
43,2019-9-12,0,10,1
