date_id,date,pre_covid,n_count,t_count,d_count,is_r
0,2018-1-2,0,22,43,117,0
0,2018-1-2,0,39,74,117,1
1,2018-1-9,0,24,41,129,0
1,2018-1-9,0,45,88,129,1
2,2018-2-8,0,30,46,139,0
2,2018-2-8,0,51,93,139,1
3,2018-3-14,0,26,40,138,0
3,2018-3-14,0,58,98,138,1
4,2018-4-10,0,29,42,142,0
4,2018-4-10,0,53,100,142,1
5,2018-5-8,0,26,39,135,0
5,2018-5-8,0,48,96,135,1
6,2018-7-20,0,25,40,136,0
6,2018-7-20,0,58,96,136,1
7,2018-10-15,0,21,40,136,0
7,2018-10-15,0,52,96,136,1
8,2018-10-31,0,21,42,156,0
8,2018-10-31,0,70,114,156,1
9,2018-11-11,0,24,53,103,0
9,2018-11-11,0,18,50,103,1
10,2018-11-27,0,25,39,150,0
10,2018-11-27,0,64,111,150,1
11,2018-12-4,0,21,42,159,0
11,2018-12-4,0,61,117,159,1
12,2018-12-15,0,21,39,72,0
12,2018-12-15,0,16,33,72,1
13,2018-12-16,0,29,49,99,0
13,2018-12-16,0,21,50,99,1
14,2018-12-27,0,25,38,135,0
14,2018-12-27,0,52,97,135,1
15,2019-1-2,0,16,39,115,0
15,2019-1-2,0,42,76,115,1
16,2019-1-5,0,24,43,64,0
16,2019-1-5,0,10,21,64,1
17,2019-1-10,0,21,43,158,0
17,2019-1-10,0,76,115,158,1
18,2019-1-16,0,23,42,166,0
18,2019-1-16,0,72,124,166,1
19,2019-1-17,0,31,45,163,0
19,2019-1-17,0,84,118,163,1
20,2019-1-25,0,24,43,159,0
20,2019-1-25,0,68,116,159,1
21,2019-2-25,0,14,32,116,0
21,2019-2-25,0,44,84,116,1
22,2019-3-4,0,22,38,122,0
22,2019-3-4,0,41,84,122,1
23,2019-3-7,0,30,50,163,0
23,2019-3-7,0,70,113,163,1
24,2019-3-24,0,16,49,99,0
24,2019-3-24,0,26,50,99,1
25,2019-3-25,0,26,42,134,0
25,2019-3-25,0,51,92,134,1
26,2019-4-8,0,21,41,122,0
26,2019-4-8,0,44,81,122,1
27,2019-4-17,0,18,43,162,0
27,2019-4-17,0,70,119,162,1
28,2019-4-30,0,23,38,154,0
28,2019-4-30,0,72,116,154,1
29,2019-5-17,0,24,42,167,0
29,2019-5-17,0,72,125,167,1
30,2019-5-29,0,22,43,155,0
30,2019-5-29,0,69,112,155,1
31,2019-6-16,0,23,53,103,0
31,2019-6-16,0,26,50,103,1
32,2019-6-28,0,25,48,182,0
32,2019-6-28,0,77,134,182,1
33,2019-6-29,0,19,36,61,0
33,2019-6-29,0,9,25,61,1
34,2019-7-6,0,23,41,66,0
34,2019-7-6,0,11,25,66,1
35,2019-7-10,0,24,47,177,0
35,2019-7-10,0,75,130,177,1
36,2019-7-13,0,21,36,61,0
36,2019-7-13,0,9,25,61,1
37,2019-7-20,0,26,38,61,0
37,2019-7-20,0,10,23,61,1
38,2019-7-29,0,23,37,122,0
38,2019-7-29,0,50,85,122,1
39,2019-8-14,0,24,43,166,0
39,2019-8-14,0,86,123,166,1
40,2019-8-18,0,15,44,94,0
40,2019-8-18,0,27,50,94,1
41,2019-8-22,0,30,44,160,0
41,2019-8-22,0,73,116,160,1
42,2019-8-31,0,22,35,56,0
42,2019-8-31,0,9,21,56,1
43,2019-9-12,0,23,37,96,0
43,2019-9-12,0,34,59,96,1
44,2019-9-27,0,30,43,172,0
44,2019-9-27,0,81,129,172,1
45,2019-10-7,0,20,35,124,0
45,2019-10-7,0,43,89,124,1
46,2019-10-17,0,16,34,169,0
46,2019-10-17,0,88,135,169,1
47,2019-11-1,0,23,41,150,0
47,2019-11-1,0,62,109,150,1
48,2019-11-10,0,20,46,96,0
48,2019-11-10,0,22,50,96,1
49,2019-11-20,0,26,42,170,0
49,2019-11-20,0,83,128,170,1
50,2020-1-20,1,21,38,135,0
50,2020-1-20,1,55,97,135,1
51,2020-2-11,1,22,44,160,0
51,2020-2-11,1,73,116,160,1
52,2020-2-14,1,26,43,154,0
52,2020-2-14,1,64,111,154,1
53,2020-2-15,1,17,31,60,0
53,2020-2-15,1,15,29,60,1
54,2020-3-12,1,31,48,167,0
54,2020-3-12,1,81,119,167,1
55,2020-3-14,1,35,44,85,0
55,2020-3-14,1,28,41,85,1
56,2020-3-26,1,27,47,181,0
56,2020-3-26,1,85,134,181,1
57,2020-4-6,1,21,42,128,0
57,2020-4-6,1,49,86,128,1
58,2020-4-17,1,31,43,173,0
58,2020-4-17,1,82,130,173,1
59,2020-4-25,1,19,37,73,0
59,2020-4-25,1,15,36,73,1
60,2020-5-12,1,27,40,152,0
60,2020-5-12,1,64,112,152,1
61,2020-5-13,1,29,48,164,0
61,2020-5-13,1,67,116,164,1
62,2020-6-12,1,23,41,157,0
62,2020-6-12,1,70,116,157,1
63,2020-6-15,1,25,39,112,0
63,2020-6-15,1,44,73,112,1
64,2020-7-4,1,17,37,57,0
64,2020-7-4,1,9,20,57,1
65,2020-7-13,1,24,43,129,0
65,2020-7-13,1,44,86,129,1
66,2020-7-23,1,27,45,160,0
66,2020-7-23,1,69,115,160,1
67,2020-7-28,1,29,44,154,0
67,2020-7-28,1,69,110,154,1
68,2020-8-8,1,26,39,72,0
68,2020-8-8,1,14,33,72,1
69,2020-8-19,1,28,46,166,0
69,2020-8-19,1,69,120,166,1
70,2020-8-21,1,19,45,163,0
70,2020-8-21,1,74,118,163,1
71,2020-9-23,1,26,46,147,0
71,2020-9-23,1,57,101,147,1
72,2020-9-28,1,34,53,153,0
72,2020-9-28,1,61,100,153,1
73,2020-10-12,1,29,43,130,0
73,2020-10-12,1,44,87,130,1
74,2020-10-13,1,28,48,156,0
74,2020-10-13,1,63,108,156,1
75,2020-10-20,1,25,44,157,0
75,2020-10-20,1,73,113,157,1
76,2020-10-26,1,27,42,132,0
76,2020-10-26,1,54,90,132,1
77,2020-10-27,1,21,45,148,0
77,2020-10-27,1,61,103,148,1
78,2020-11-5,1,21,45,189,0
78,2020-11-5,1,81,144,189,1
79,2020-11-6,1,20,45,165,0
79,2020-11-6,1,66,120,165,1
80,2020-11-17,1,25,48,151,0
80,2020-11-17,1,59,103,151,1
81,2020-11-20,1,22,42,149,0
81,2020-11-20,1,61,107,149,1
82,2020-11-26,1,20,41,142,0
82,2020-11-26,1,60,101,142,1
83,2020-12-6,1,20,56,106,0
83,2020-12-6,1,28,50,106,1
84,2020-12-19,1,23,40,72,0
84,2020-12-19,1,13,32,72,1
85,2021-2-7,1,19,53,103,0
85,2021-2-7,1,24,50,103,1
86,2021-2-17,1,25,47,160,0
86,2021-2-17,1,69,113,160,1
87,2021-3-22,1,21,46,128,0
87,2021-3-22,1,46,82,128,1
88,2021-4-26,1,24,42,115,0
88,2021-4-26,1,40,73,115,1
89,2021-5-26,1,24,47,159,0
89,2021-5-26,1,67,112,159,1
90,2021-6-4,1,29,47,149,0
90,2021-6-4,1,57,102,149,1
91,2021-7-9,1,19,45,146,0
91,2021-7-9,1,51,101,146,1
92,2021-9-4,1,26,44,74,0
92,2021-9-4,1,16,30,74,1
93,2021-9-5,1,28,59,77,0
93,2021-9-5,1,11,18,77,1
94,2021-9-7,1,24,42,114,0
94,2021-9-7,1,36,72,114,1
95,2021-9-18,1,26,44,73,0
95,2021-9-18,1,14,29,73,1
96,2021-10-10,1,19,56,106,0
96,2021-10-10,1,26,50,106,1
97,2021-11-5,1,25,48,144,0
97,2021-11-5,1,50,96,144,1
98,2021-11-16,1,27,47,140,0
98,2021-11-16,1,49,93,140,1
99,2021-12-20,1,23,44,110,0
99,2021-12-20,1,38,66,110,1
