date_id,date,pre_covid,n_count,t_count,d_count,is_high
0,2018-1-2,0,47,93,117,1
0,2018-1-2,0,14,24,117,0
1,2018-1-9,0,47,91,129,1
1,2018-1-9,0,22,38,129,0
2,2018-2-8,0,54,96,139,1
2,2018-2-8,0,27,43,139,0
3,2018-3-14,0,59,90,138,1
3,2018-3-14,0,25,48,138,0
4,2018-4-10,0,53,91,142,1
4,2018-4-10,0,29,51,142,0
5,2018-5-8,0,53,89,135,1
5,2018-5-8,0,21,46,135,0
6,2018-7-20,0,54,90,136,1
6,2018-7-20,0,29,46,136,0
7,2018-10-15,0,49,90,136,1
7,2018-10-15,0,24,46,136,0
8,2018-10-31,0,50,92,156,1
8,2018-10-31,0,41,64,156,0
9,2018-11-11,0,42,103,103,1
9,2018-11-11,0,0,0,103,0
10,2018-11-27,0,49,89,150,1
10,2018-11-27,0,40,61,150,0
11,2018-12-4,0,44,92,159,1
11,2018-12-4,0,38,67,159,0
12,2018-12-15,0,37,72,72,1
12,2018-12-15,0,0,0,72,0
13,2018-12-16,0,50,99,99,1
13,2018-12-16,0,0,0,99,0
14,2018-12-27,0,50,88,135,1
14,2018-12-27,0,27,47,135,0
15,2019-1-2,0,45,89,115,1
15,2019-1-2,0,13,26,115,0
16,2019-1-5,0,34,64,64,1
16,2019-1-5,0,0,0,64,0
17,2019-1-10,0,52,93,158,1
17,2019-1-10,0,45,65,158,0
18,2019-1-16,0,50,92,166,1
18,2019-1-16,0,45,74,166,0
19,2019-1-17,0,62,95,163,1
19,2019-1-17,0,53,68,163,0
20,2019-1-25,0,54,93,159,1
20,2019-1-25,0,38,66,159,0
21,2019-2-25,0,42,82,116,1
21,2019-2-25,0,16,34,116,0
22,2019-3-4,0,44,88,122,1
22,2019-3-4,0,19,34,122,0
23,2019-3-7,0,62,100,163,1
23,2019-3-7,0,38,63,163,0
24,2019-3-24,0,42,99,99,1
24,2019-3-24,0,0,0,99,0
25,2019-3-25,0,49,92,134,1
25,2019-3-25,0,28,42,134,0
26,2019-4-8,0,49,91,122,1
26,2019-4-8,0,16,31,122,0
27,2019-4-17,0,43,93,162,1
27,2019-4-17,0,45,69,162,0
28,2019-4-30,0,55,88,154,1
28,2019-4-30,0,40,66,154,0
29,2019-5-17,0,53,92,167,1
29,2019-5-17,0,43,75,167,0
30,2019-5-29,0,54,93,155,1
30,2019-5-29,0,37,62,155,0
31,2019-6-16,0,49,103,103,1
31,2019-6-16,0,0,0,103,0
32,2019-6-28,0,48,98,182,1
32,2019-6-28,0,54,84,182,0
33,2019-6-29,0,28,61,61,1
33,2019-6-29,0,0,0,61,0
34,2019-7-6,0,34,66,66,1
34,2019-7-6,0,0,0,66,0
35,2019-7-10,0,51,97,177,1
35,2019-7-10,0,48,80,177,0
36,2019-7-13,0,30,61,61,1
36,2019-7-13,0,0,0,61,0
37,2019-7-20,0,36,61,61,1
37,2019-7-20,0,0,0,61,0
38,2019-7-29,0,54,87,122,1
38,2019-7-29,0,19,35,122,0
39,2019-8-14,0,61,93,166,1
39,2019-8-14,0,49,73,166,0
40,2019-8-18,0,42,94,94,1
40,2019-8-18,0,0,0,94,0
41,2019-8-22,0,61,94,160,1
41,2019-8-22,0,42,66,160,0
42,2019-8-31,0,31,56,56,1
42,2019-8-31,0,0,0,56,0
43,2019-9-12,0,53,87,96,1
43,2019-9-12,0,4,9,96,0
44,2019-9-27,0,56,93,172,1
44,2019-9-27,0,55,79,172,0
45,2019-10-7,0,41,85,124,1
45,2019-10-7,0,22,39,124,0
46,2019-10-17,0,45,84,169,1
46,2019-10-17,0,59,85,169,0
47,2019-11-1,0,48,91,150,1
47,2019-11-1,0,37,59,150,0
48,2019-11-10,0,42,96,96,1
48,2019-11-10,0,0,0,96,0
49,2019-11-20,0,55,92,170,1
49,2019-11-20,0,54,78,170,0
50,2020-1-20,1,48,88,135,1
50,2020-1-20,1,28,47,135,0
51,2020-2-11,1,53,94,160,1
51,2020-2-11,1,42,66,160,0
52,2020-2-14,1,49,93,154,1
52,2020-2-14,1,41,61,154,0
53,2020-2-15,1,32,60,60,1
53,2020-2-15,1,0,0,60,0
54,2020-3-12,1,65,98,167,1
54,2020-3-12,1,47,69,167,0
55,2020-3-14,1,63,85,85,1
55,2020-3-14,1,0,0,85,0
56,2020-3-26,1,62,97,181,1
56,2020-3-26,1,50,84,181,0
57,2020-4-6,1,48,92,128,1
57,2020-4-6,1,22,36,128,0
58,2020-4-17,1,58,93,173,1
58,2020-4-17,1,55,80,173,0
59,2020-4-25,1,34,73,73,1
59,2020-4-25,1,0,0,73,0
60,2020-5-12,1,55,90,152,1
60,2020-5-12,1,36,62,152,0
61,2020-5-13,1,55,98,164,1
61,2020-5-13,1,41,66,164,0
62,2020-6-12,1,49,91,157,1
62,2020-6-12,1,44,66,157,0
63,2020-6-15,1,56,89,112,1
