Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred,Sentiment
Why we still allow bullying to flourish in kids sports,The Washington Post,2018,1,2,0,0,0,1,-1
Trump’s lawyer is a specialist in securing preemptive pardons,The Washington Post,2018,1,2,0,0,0,1,1
Deadly Iran Protests Prompt Warning of Harsher Response,The New York Times,2018,1,2,0,0,0,0,-1
Renewal or Gentrification? London Borough Grapples With a Revamp,The New York Times,2018,1,2,0,0,0,0,-1
"Pulled Over in a Rental Car, With Heroin in the Trunk",The New York Times,2018,1,2,0,0,0,0,-1
Why the U.S. Spends So Much More Than Other Nations on Health Care,The New York Times,2018,1,2,0,0,0,0,-1
Toasts to the Deals (and Other Winners) of 2017,The New York Times,2018,1,2,0,0,0,0,1
Powerful Hollywood Women Unveil Anti-Harassment Action Plan,The New York Times,2018,1,2,0,0,0,0,1
How Astrology Took Over the Internet,The New York Times,2018,1,2,0,0,0,0,0
"In Chilly Start to 2nd Term, Mayor Looks Beyond New York",The New York Times,2018,1,2,0,0,0,0,-1
Conquering Her Mobility Obstacles With an Upbeat Attitude,The New York Times,2018,1,2,0,0,0,0,1
"To Sate China’s Demand, African Donkeys Are Stolen and Skinned",The New York Times,2018,1,2,0,0,0,0,-1
"Maura Jacobson, Creator of Witty Crosswords, Dies at 91",The New York Times,2018,1,2,0,0,0,0,-1
‘A New Progressive Era’ in New York City,The New York Times,2018,1,2,0,0,0,0,1
The Retreat to Tribalism,The New York Times,2018,1,2,0,0,0,0,-1
‘White-Informed Civility’ Is the Latest Target in the Campus Wars,The Wall Street Journal,2018,1,2,0,0,1,1,-1
Insurance Startup Indio Raises $6 Million Series A,The Wall Street Journal,2018,1,2,0,0,1,1,-1
U.S. Apartment Market Softens as Supply Increases,The Wall Street Journal,2018,1,2,0,0,1,1,-1
Firm Retention Summary: Armstrong Energy Inc.,The Wall Street Journal,2018,1,2,0,0,1,1,1
"Venezuela Misses Another Debt Payment, Raising Stakes for Bondholders",The Wall Street Journal,2018,1,2,0,0,1,1,-1
"Corrigan’s Take: Omar Amanat, No Stranger to Bankruptcy Court, Convicted of Fraud",The Wall Street Journal,2018,1,2,0,0,1,1,1
Haley Calls on U.N. to Support Demonstrators in Iran,The Wall Street Journal,2018,1,2,0,0,1,1,0
Rubio’s Tax Lament,The Wall Street Journal,2018,1,2,0,0,1,1,-1
"Let’s Keep the Gains Made, Nafta Isn’t the Boogeyman",The Wall Street Journal,2018,1,2,0,0,1,1,0
GRE being accepted by top law schools instead of LSAT to broaden pool,The Washington Times,2018,1,2,0,0,1,2,0
EDITORIAL: Even pop stars learn risks of straying outside their bubble,The Washington Times,2018,1,2,0,0,1,2,-1
Italian bill would ban images of Benito Mussolini to curb fascism,The Washington Times,2018,1,2,0,0,1,2,-1
"Rocket Man offers an opening, or a trap",The Washington Times,2018,1,2,0,0,1,2,-1
"EDITORIAL: 'Swatting,' or luring cops to an ambush, is the new blue peril",The Washington Times,2018,1,2,0,0,1,2,-1
Kids should know to 'just say no' to sexting,The Washington Times,2018,1,2,0,0,1,2,-1
"Trump Administration Says That Nearly 200,000 Salvadorans Must Leave",The New York Times,2018,1,9,1,0,0,0,-1
These Billion-Dollar Natural Disasters Set a U.S. Record in 2017,The New York Times,2018,1,9,1,0,0,0,0
Charges Against Bundys in Ranch Standoff Case Are Dismissed,The New York Times,2018,1,9,1,0,0,0,0
"To Pay for Wall, Trump Would Cut Proven Border Security Measures",The New York Times,2018,1,9,1,0,0,0,-1
